course_title,tags
Management of Fashion and Luxury Companies,Management of Fashion and Luxury Companies Università Bocconi COURSE Mixed
Managerial Accounting Fundamentals,Managerial Accounting Fundamentals University of Virginia COURSE Beginner
Managerial Economics and Business Analysis,Managerial Economics and Business Analysis University of Illinois at Urbana-Champaign SPECIALIZATION Beginner
Managing Innovation and Design Thinking,Managing Innovation and Design Thinking HEC Paris SPECIALIZATION Beginner
Managing Project Risks and Changes,"Managing Project Risks and Changes University of California, Irvine COURSE Mixed"
Managing Social and Human Capital,Managing Social and Human Capital University of Pennsylvania COURSE Beginner
Managing Your Health: The Role of Physical Therapy and Exercise,Managing Your Health: The Role of Physical Therapy and Exercise University of Toronto COURSE Beginner
Market Research,"Market Research University of California, Davis SPECIALIZATION Beginner"
Marketing Digital,Marketing Digital Universidade de São Paulo COURSE Beginner
Marketing Digital,Marketing Digital Universidad Austral SPECIALIZATION Beginner
Marketing Gerencial,Marketing Gerencial Universidad de Chile COURSE Intermediate
Marketing Mix Implementation,Marketing Mix Implementation IE Business School SPECIALIZATION Beginner
Marketing Strategy,Marketing Strategy IE Business School SPECIALIZATION Beginner
Marketing Verde,Marketing Verde Universidad de los Andes COURSE Mixed
Marketing con Redes Sociales,Marketing con Redes Sociales Tecnológico de Monterrey SPECIALIZATION Intermediate
Marketing in a Digital World,Marketing in a Digital World University of Illinois at Urbana-Champaign COURSE Beginner
Mastering Data Analysis in Excel,Mastering Data Analysis in Excel Duke University COURSE Mixed
Mastering Final Cut Pro,Mastering Final Cut Pro LearnQuest COURSE Beginner
Mastering Software Development in R,Mastering Software Development in R Johns Hopkins University SPECIALIZATION Beginner
Materials Science: 10 Things Every Engineer Should Know,"Materials Science: 10 Things Every Engineer Should Know University of California, Davis COURSE Mixed"
Mathematics for Data Science,Mathematics for Data Science National Research University Higher School of Economics SPECIALIZATION Beginner
Mathematics for Machine Learning,Mathematics for Machine Learning Imperial College London SPECIALIZATION Beginner
Mathematics for Machine Learning: Linear Algebra,Mathematics for Machine Learning: Linear Algebra Imperial College London COURSE Beginner
Mathematics for Machine Learning: Multivariate Calculus,Mathematics for Machine Learning: Multivariate Calculus Imperial College London COURSE Beginner
Mathematics for Machine Learning: PCA,Mathematics for Machine Learning: PCA Imperial College London COURSE Intermediate
Medical Cannabis: The Health Effects of THC and CBD,Medical Cannabis: The Health Effects of THC and CBD University of Colorado Boulder SPECIALIZATION Beginner
Medical Neuroscience,Medical Neuroscience Duke University COURSE Advanced
Memoir and Personal Essay: Write About Yourself,Memoir and Personal Essay: Write About Yourself Wesleyan University SPECIALIZATION Beginner
Methods and Statistics in Social Sciences,Methods and Statistics in Social Sciences University of Amsterdam SPECIALIZATION Beginner
Microeconomics Principles,Microeconomics Principles University of Illinois at Urbana-Champaign COURSE Beginner
Microeconomics: The Power of Markets,Microeconomics: The Power of Markets University of Pennsylvania COURSE Mixed
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential McMaster University COURSE Beginner
Miracles of Human Language: An Introduction to Linguistics,Miracles of Human Language: An Introduction to Linguistics Universiteit Leiden COURSE Beginner
Model Thinking,Model Thinking University of Michigan COURSE Mixed
Modeling Risk and Realities,Modeling Risk and Realities University of Pennsylvania COURSE Mixed
Modern Art & Ideas,Modern Art & Ideas The Museum of Modern Art COURSE Beginner
Modern Big Data Analysis with SQL,Modern Big Data Analysis with SQL Cloudera SPECIALIZATION Beginner
"Modern Robotics:  Mechanics, Planning, and Control","Modern Robotics:  Mechanics, Planning, and Control Northwestern University SPECIALIZATION Intermediate"
Modernizing Data Lakes and Data Warehouses with GCP,Modernizing Data Lakes and Data Warehouses with GCP Google Cloud COURSE Intermediate
Moral Foundations of Politics,Moral Foundations of Politics Yale University COURSE Mixed
More Introduction to Financial Accounting,More Introduction to Financial Accounting University of Pennsylvania COURSE Mixed
Mountains 101,Mountains 101 University of Alberta COURSE Mixed
Municipal Solid Waste Management in Developing Countries,Municipal Solid Waste Management in Developing Countries École Polytechnique Fédérale de Lausanne COURSE Intermediate
Music Business,Music Business Berklee College of Music SPECIALIZATION Beginner
Music Business Foundations,Music Business Foundations Berklee College of Music COURSE Mixed
Music Production,Music Production Berklee College of Music SPECIALIZATION Beginner
Nanotechnology: A Maker’s Course,Nanotechnology: A Maker’s Course Duke University COURSE Mixed
Natural Language Processing in TensorFlow,Natural Language Processing in TensorFlow deeplearning.ai COURSE Intermediate
Negociación exitosa: Estrategias y habilidades esenciales (en español),Negociación exitosa: Estrategias y habilidades esenciales (en español) University of Michigan COURSE Mixed
"Negotiation, Mediation and Conflict Resolution","Negotiation, Mediation and Conflict Resolution ESSEC Business School SPECIALIZATION Beginner"
Networking and Security Architecture with VMware NSX,Networking and Security Architecture with VMware NSX VMware COURSE Intermediate
Networking in Google Cloud,Networking in Google Cloud Google Cloud SPECIALIZATION Intermediate
Neural Networks and Deep Learning,Neural Networks and Deep Learning deeplearning.ai COURSE Intermediate
Neurolinguistics,Neurolinguistics Saint Petersburg State University COURSE Mixed
New Approaches to Countering Terror: Countering Violent Extremism,"New Approaches to Countering Terror: Countering Violent Extremism University of Maryland, College Park COURSE Beginner"
Newborn Baby Care,Newborn Baby Care University of Colorado System SPECIALIZATION Beginner
Nutrición y obesidad: control de sobrepeso,Nutrición y obesidad: control de sobrepeso Universidad Nacional Autónoma de México COURSE Beginner
Nutrition and Lifestyle in Pregnancy,Nutrition and Lifestyle in Pregnancy Ludwig-Maximilians-Universität München (LMU) COURSE Intermediate
Object Oriented Java Programming: Data Structures and Beyond,Object Oriented Java Programming: Data Structures and Beyond University of California San Diego SPECIALIZATION Intermediate
Object Oriented Programming in Java,Object Oriented Programming in Java Duke University SPECIALIZATION Beginner
Object-Oriented Data Structures in C++,Object-Oriented Data Structures in C++ University of Illinois at Urbana-Champaign COURSE Intermediate
Object-Oriented Design,Object-Oriented Design University of Alberta COURSE Intermediate
Oil & Gas Industry Operations and Markets,Oil & Gas Industry Operations and Markets Duke University COURSE Mixed
"Open Source Software Development, Linux and Git","Open Source Software Development, Linux and Git The Linux Foundation SPECIALIZATION Beginner"
Operating Systems and You: Becoming a Power User,Operating Systems and You: Becoming a Power User Google COURSE Beginner
Operations Analytics,Operations Analytics University of Pennsylvania COURSE Mixed
Optical Engineering,Optical Engineering University of Colorado Boulder SPECIALIZATION Advanced
Organizational Leadership,Organizational Leadership Northwestern University SPECIALIZATION Intermediate
Osteoarchaeology: The Truth in Our Bones,Osteoarchaeology: The Truth in Our Bones Universiteit Leiden COURSE Beginner
Palliative Care: It's Not Just Hospice Anymore,Palliative Care: It's Not Just Hospice Anymore University of Colorado System SPECIALIZATION Beginner
Palo Alto Networks Cybersecurity,Palo Alto Networks Cybersecurity Palo Alto Networks SPECIALIZATION Beginner
"Parallel, Concurrent, and Distributed Programming in Java","Parallel, Concurrent, and Distributed Programming in Java Rice University SPECIALIZATION Intermediate"
Particle Physics: an Introduction,Particle Physics: an Introduction University of Geneva COURSE Mixed
Patient Safety,Patient Safety Johns Hopkins University SPECIALIZATION Beginner
Patrocinio Deportivo,Patrocinio Deportivo Universitat Autònoma de Barcelona COURSE Beginner
People Analytics,People Analytics University of Pennsylvania COURSE Mixed
Perfect Tenses and Modals,"Perfect Tenses and Modals University of California, Irvine COURSE Intermediate"
Periodismo digital y combate a las fake news,Periodismo digital y combate a las fake news Universidad Nacional Autónoma de México COURSE Beginner
Photography Basics and Beyond: From Smartphone to DSLR,Photography Basics and Beyond: From Smartphone to DSLR Michigan State University SPECIALIZATION Beginner
Plant Bioinformatic Methods,Plant Bioinformatic Methods University of Toronto SPECIALIZATION Beginner
Politics and Economics of International Energy,Politics and Economics of International Energy Sciences Po COURSE Beginner
Positive Psychiatry and Mental Health,Positive Psychiatry and Mental Health The University of Sydney COURSE Mixed
Positive Psychology,Positive Psychology The University of North Carolina at Chapel Hill COURSE Mixed
Positive Psychology: Applications and Interventions,Positive Psychology: Applications and Interventions University of Pennsylvania COURSE Beginner
Positive Psychology: Martin E. P. Seligman’s Visionary Science,Positive Psychology: Martin E. P. Seligman’s Visionary Science University of Pennsylvania COURSE Beginner
Positive Psychology: Resilience Skills,Positive Psychology: Resilience Skills University of Pennsylvania COURSE Beginner
Power Electronics,Power Electronics University of Colorado Boulder SPECIALIZATION Intermediate
Practical Data Science with MATLAB,Practical Data Science with MATLAB MathWorks SPECIALIZATION Beginner
Practical Time Series Analysis,Practical Time Series Analysis The State University of New York COURSE Intermediate
Preparing for the Google Cloud Associate Cloud Engineer Exam,Preparing for the Google Cloud Associate Cloud Engineer Exam Google Cloud COURSE Beginner
Preparing to Manage Human Resources,Preparing to Manage Human Resources University of Minnesota COURSE Mixed
"Presentation Skills: Speechwriting, Slides and Delivery","Presentation Skills: Speechwriting, Slides and Delivery E-Learning Development Fund SPECIALIZATION Beginner"
Pricing Strategy Optimization,Pricing Strategy Optimization BCG SPECIALIZATION Beginner
Primeros Auxilios Psicológicos (PAP),Primeros Auxilios Psicológicos (PAP) Universitat Autònoma de Barcelona COURSE Mixed
Private Equity and Venture Capital,Private Equity and Venture Capital Università Bocconi COURSE Mixed
Probabilistic Graphical Models 1: Representation,Probabilistic Graphical Models 1: Representation Stanford University COURSE Advanced
Probability and Statistics: To p or not to p?,Probability and Statistics: To p or not to p? University of London COURSE Beginner
Process Mining: Data science in Action,Process Mining: Data science in Action Eindhoven University of Technology COURSE Intermediate
"Programming Foundations with JavaScript, HTML and CSS","Programming Foundations with JavaScript, HTML and CSS Duke University COURSE Beginner"
Programming Fundamentals,Programming Fundamentals Duke University COURSE Beginner
Programming for Everybody (Getting Started with Python),Programming for Everybody (Getting Started with Python) University of Michigan COURSE Mixed
Programming with Google Go,"Programming with Google Go University of California, Irvine SPECIALIZATION Intermediate"
Project Execution,"Project Execution University of California, Irvine COURSE Beginner"
Project Launch,"Project Launch University of California, Irvine COURSE Beginner"
Project Management & Other Tools for Career Development,"Project Management & Other Tools for Career Development University of California, Irvine SPECIALIZATION Beginner"
Project Management Principles and Practices,"Project Management Principles and Practices University of California, Irvine SPECIALIZATION Beginner"
Psychological First Aid,Psychological First Aid Johns Hopkins University COURSE Mixed
Public Policy Challenges of the 21st Century,Public Policy Challenges of the 21st Century University of Virginia COURSE Beginner
Python Basics,Python Basics University of Michigan COURSE Beginner
Python Classes and Inheritance,Python Classes and Inheritance University of Michigan COURSE Intermediate
Python Data Structures,Python Data Structures University of Michigan COURSE Mixed
"Python Functions, Files, and Dictionaries","Python Functions, Files, and Dictionaries University of Michigan COURSE Beginner"
Python and Statistics for Financial Analysis,Python and Statistics for Financial Analysis The Hong Kong University of Science and Technology COURSE Intermediate
Python for Data Science and AI,Python for Data Science and AI IBM COURSE Beginner
Python for Everybody,Python for Everybody University of Michigan SPECIALIZATION Beginner
Quantitative Methods,Quantitative Methods University of Amsterdam COURSE Mixed
Queering Identities: LGBTQ+ Sexuality and Gender Identity,Queering Identities: LGBTQ+ Sexuality and Gender Identity University of Colorado System COURSE Beginner
R Programming,R Programming Johns Hopkins University COURSE Intermediate
"Ready, Set, Future! Introduction to Futures Thinking","Ready, Set, Future! Introduction to Futures Thinking Institute for the Future COURSE Beginner"
Recommender Systems,Recommender Systems University of Minnesota SPECIALIZATION Intermediate
"Recruiting, Hiring, and Onboarding Employees","Recruiting, Hiring, and Onboarding Employees University of Minnesota COURSE Mixed"
Reinforcement Learning,Reinforcement Learning University of Alberta SPECIALIZATION Intermediate
Renewable Energy and Green Building Entrepreneurship,Renewable Energy and Green Building Entrepreneurship Duke University COURSE Beginner
Reporting extra-financier et stratégie RSE,Reporting extra-financier et stratégie RSE ESSEC Business School COURSE Beginner
Requirements Engineering: Secure Software  Specifications,Requirements Engineering: Secure Software  Specifications University of Colorado System SPECIALIZATION Beginner
Research Data Management and Sharing,Research Data Management and Sharing The University of Edinburgh COURSE Mixed
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives","Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives University of Minnesota COURSE Mixed"
Responsive Website Development and Design,"Responsive Website Development and Design Goldsmiths, University of London SPECIALIZATION Beginner"
Rethinking International Tax Law,Rethinking International Tax Law Universiteit Leiden COURSE Mixed
Revisão Sistemática e Meta-análise,Revisão Sistemática e Meta-análise Universidade Estadual de Campinas COURSE Intermediate
Robotics,Robotics University of Pennsylvania SPECIALIZATION Beginner
Roman Architecture,Roman Architecture Yale University COURSE Beginner
Russian Alphabet,Russian Alphabet Saint Petersburg State University COURSE Beginner
Russian for beginners А1. Русский язык: A1,Russian for beginners А1. Русский язык: A1 Saint Petersburg State University SPECIALIZATION Beginner
Réussir le Changement,Réussir le Changement ESSEC Business School COURSE Mixed
SAS Programmer,SAS Programmer SAS PROFESSIONAL CERTIFICATE Beginner
SAS Visual Business Analytics,SAS Visual Business Analytics SAS PROFESSIONAL CERTIFICATE Beginner
SQL for Data Science,"SQL for Data Science University of California, Davis COURSE Beginner"
Sales Operations/Management,Sales Operations/Management West Virginia University SPECIALIZATION Beginner
Sales Training for High Performing Teams,Sales Training for High Performing Teams HubSpot Academy SPECIALIZATION Beginner
Sample-based Learning Methods,Sample-based Learning Methods University of Alberta COURSE Intermediate
Scaling Operations: Linking Strategy and Execution,Scaling Operations: Linking Strategy and Execution Northwestern University COURSE Mixed
School Health for Children and Adolescents,School Health for Children and Adolescents University of Colorado System SPECIALIZATION Beginner
Science of Exercise,Science of Exercise University of Colorado Boulder COURSE Beginner
Search Engine Optimization Fundamentals,"Search Engine Optimization Fundamentals University of California, Davis COURSE Mixed"
Secure Coding Practices,"Secure Coding Practices University of California, Davis SPECIALIZATION Intermediate"
Security & Safety Challenges in a Globalized World,Security & Safety Challenges in a Globalized World Universiteit Leiden COURSE Beginner
Security in Google Cloud Platform,Security in Google Cloud Platform Google Cloud SPECIALIZATION Intermediate
Self-Driving Cars,Self-Driving Cars University of Toronto SPECIALIZATION Advanced
Sequence Models,Sequence Models deeplearning.ai COURSE Intermediate
Sexualidad...mucho más que sexo,Sexualidad...mucho más que sexo Universidad de los Andes COURSE Beginner
Sharpened Visions: A Poetry Workshop,Sharpened Visions: A Poetry Workshop California Institute of the Arts COURSE Beginner
Site Reliability Engineering: Measuring and Managing Reliability,Site Reliability Engineering: Measuring and Managing Reliability Google Cloud COURSE Advanced
Six Sigma Green Belt,Six Sigma Green Belt University System of Georgia SPECIALIZATION Intermediate
Six Sigma and the Organization (Advanced),Six Sigma and the Organization (Advanced) University System of Georgia COURSE Intermediate
"Sleep: Neurobiology, Medicine, and Society","Sleep: Neurobiology, Medicine, and Society University of Michigan COURSE Beginner"
Smart Cities – Management of Smart Urban Infrastructures,Smart Cities – Management of Smart Urban Infrastructures École Polytechnique Fédérale de Lausanne COURSE Beginner
Social Entrepreneurship,Social Entrepreneurship Copenhagen Business School SPECIALIZATION Beginner
Social Media Marketing,Social Media Marketing Northwestern University SPECIALIZATION Beginner
"Social Norms, Social Change I","Social Norms, Social Change I University of Pennsylvania COURSE Beginner"
Social Policy for Social Services & Health Practitioners,Social Policy for Social Services & Health Practitioners Columbia University SPECIALIZATION Beginner
Social Psychology,Social Psychology Wesleyan University COURSE Beginner
Social and Economic Networks:  Models and Analysis,Social and Economic Networks:  Models and Analysis Stanford University COURSE Advanced
Software Design and Architecture,Software Design and Architecture University of Alberta SPECIALIZATION Beginner
Software Development Lifecycle,Software Development Lifecycle University of Minnesota SPECIALIZATION Intermediate
Software Processes and Agile Practices,Software Processes and Agile Practices University of Alberta COURSE Mixed
Software Product Management,Software Product Management University of Alberta SPECIALIZATION Beginner
Solar Energy Basics,Solar Energy Basics The State University of New York COURSE Beginner
Songwriting: Writing the Lyrics,Songwriting: Writing the Lyrics Berklee College of Music COURSE Beginner
Soporte de Tecnologías de la Información de Google,Soporte de Tecnologías de la Información de Google Crece con Google PROFESSIONAL CERTIFICATE Beginner
Spacecraft Dynamics and Control,Spacecraft Dynamics and Control University of Colorado Boulder SPECIALIZATION Advanced
Spanish Vocabulary: Meeting People,"Spanish Vocabulary: Meeting People University of California, Davis COURSE Beginner"
"Speak English Professionally: In Person, Online & On the Phone","Speak English Professionally: In Person, Online & On the Phone Georgia Institute of Technology COURSE Mixed"
Sports Marketing,Sports Marketing Northwestern University COURSE Intermediate
Sports and Society,Sports and Society Duke University COURSE Mixed
Stanford Introduction to Food and Health,Stanford Introduction to Food and Health Stanford University COURSE Beginner
Stanford's Short Course on Breastfeeding,Stanford's Short Course on Breastfeeding Stanford University COURSE Beginner
Statistical Analysis with R for Public Health,Statistical Analysis with R for Public Health Imperial College London SPECIALIZATION Beginner
Statistics with Python,Statistics with Python University of Michigan SPECIALIZATION Beginner
Statistics with R,Statistics with R Duke University SPECIALIZATION Beginner
Stories of Infection,Stories of Infection Stanford University COURSE Intermediate
Strategic Business Analytics,Strategic Business Analytics ESSEC Business School SPECIALIZATION Advanced
Strategic Business Management - Microeconomics,"Strategic Business Management - Microeconomics University of California, Irvine COURSE Beginner"
Strategic Leadership and Management,Strategic Leadership and Management University of Illinois at Urbana-Champaign SPECIALIZATION Beginner
Strategic Management,Strategic Management Copenhagen Business School COURSE Mixed
Strategic Management and Innovation,Strategic Management and Innovation Copenhagen Business School SPECIALIZATION Beginner
Strategic Sales Management,Strategic Sales Management Fundação Instituto de Administração SPECIALIZATION Intermediate
Strategising: Management for Global Competitive Advantage,Strategising: Management for Global Competitive Advantage Macquarie University SPECIALIZATION Intermediate
Strategy and Sustainability,Strategy and Sustainability IESE Business School COURSE Beginner
Structuring Machine Learning Projects,Structuring Machine Learning Projects deeplearning.ai COURSE Beginner
Success,Success University of Pennsylvania COURSE Beginner
Successful Negotiation: Essential Strategies and Skills,Successful Negotiation: Essential Strategies and Skills University of Michigan COURSE Mixed
Summary Statistics in Public Health,Summary Statistics in Public Health Johns Hopkins University COURSE Beginner
Supply Chain Analytics,Supply Chain Analytics Rutgers the State University of New Jersey COURSE Beginner
Supply Chain Finance and Blockchain Technology,Supply Chain Finance and Blockchain Technology New York Institute of Finance SPECIALIZATION Intermediate
Supply Chain Logistics,Supply Chain Logistics Rutgers the State University of New Jersey COURSE Beginner
Supply Chain Management,Supply Chain Management Rutgers the State University of New Jersey SPECIALIZATION Beginner
Supply Chain Operations,Supply Chain Operations Rutgers the State University of New Jersey COURSE Beginner
Supply Chain Principles,Supply Chain Principles Georgia Institute of Technology COURSE Mixed
Supporting children with difficulties in reading and writing,Supporting children with difficulties in reading and writing UCL Institute of Education COURSE Mixed
Survey Data Collection and Analytics,"Survey Data Collection and Analytics University of Maryland, College Park SPECIALIZATION Beginner"
Sustainable Tourism – promoting environmental public health,Sustainable Tourism – promoting environmental public health University of Copenhagen COURSE Beginner
Swift 5 iOS Application Developer,Swift 5 iOS Application Developer LearnQuest SPECIALIZATION Beginner
System Administration and IT Infrastructure Services,System Administration and IT Infrastructure Services Google COURSE Beginner
Systems Biology and Biotechnology,Systems Biology and Biotechnology Icahn School of Medicine at Mount Sinai SPECIALIZATION Intermediate
Systems Thinking In Public Health,Systems Thinking In Public Health Johns Hopkins University COURSE Mixed
"TESOL Certificate, Part 1: Teach English Now!","TESOL Certificate, Part 1: Teach English Now! Arizona State University SPECIALIZATION Beginner"
"TESOL Certificate, Part 2: Teach English Now!","TESOL Certificate, Part 2: Teach English Now! Arizona State University SPECIALIZATION Beginner"
Teach English Now! Foundational Principles,Teach English Now! Foundational Principles Arizona State University COURSE Mixed
Teach English Now! Teaching Language Online,Teach English Now! Teaching Language Online Arizona State University COURSE Intermediate
Teaching Character and Creating Positive Classrooms,Teaching Character and Creating Positive Classrooms Relay Graduate School of Education COURSE Mixed
Teamwork Skills: Communicating Effectively in Groups,Teamwork Skills: Communicating Effectively in Groups University of Colorado Boulder COURSE Beginner
Technical Support Fundamentals,Technical Support Fundamentals Google COURSE Beginner
TensorFlow in Practice,TensorFlow in Practice deeplearning.ai SPECIALIZATION Intermediate
TensorFlow: Data and Deployment,TensorFlow: Data and Deployment deeplearning.ai SPECIALIZATION Intermediate
Terrorism and Counterterrorism: Comparing Theory and Practice,Terrorism and Counterterrorism: Comparing Theory and Practice Universiteit Leiden COURSE Beginner
The Addicted Brain,The Addicted Brain Emory University COURSE Beginner
The Art of Music Production,The Art of Music Production Berklee College of Music COURSE Intermediate
The Art of Sales: Mastering the Selling Process,The Art of Sales: Mastering the Selling Process Northwestern University SPECIALIZATION Beginner
The Arts and Science of Relationships: Understanding Human Needs,The Arts and Science of Relationships: Understanding Human Needs University of Toronto COURSE Beginner
The Bits and Bytes of Computer Networking,The Bits and Bytes of Computer Networking Google COURSE Beginner
The Business of Health Care,The Business of Health Care University of Pennsylvania SPECIALIZATION Beginner
The Business of Music Production,The Business of Music Production Berklee College of Music SPECIALIZATION Beginner
The Changing Global Order,The Changing Global Order Universiteit Leiden COURSE Intermediate
The Cycle: Management of Successful Arts and Cultural Organizations,"The Cycle: Management of Successful Arts and Cultural Organizations University of Maryland, College Park COURSE Beginner"
The DIY Musician,The DIY Musician Berklee College of Music SPECIALIZATION Beginner
The Data Scientist’s Toolbox,The Data Scientist’s Toolbox Johns Hopkins University COURSE Mixed
The Economics of Health Care Delivery,The Economics of Health Care Delivery University of Pennsylvania COURSE Mixed
The Global Financial Crisis,The Global Financial Crisis Yale University COURSE Mixed
The Horse Course: Introduction to Basic Care and Management,The Horse Course: Introduction to Basic Care and Management University of Florida COURSE Mixed
The Manager's Toolkit: A Practical Guide to Managing People at Work,"The Manager's Toolkit: A Practical Guide to Managing People at Work Birkbeck, University of London COURSE Mixed"
"The Modern World, Part One: Global History from 1760 to 1910","The Modern World, Part One: Global History from 1760 to 1910 University of Virginia COURSE Beginner"
"The Modern World, Part Two: Global History since 1910","The Modern World, Part Two: Global History since 1910 University of Virginia COURSE Beginner"
The Oral Cavity: Portal to Health and Disease,The Oral Cavity: Portal to Health and Disease University of Pennsylvania COURSE Intermediate
The Power of Macroeconomics: Economic Principles in the Real World,"The Power of Macroeconomics: Economic Principles in the Real World University of California, Irvine COURSE Mixed"
The Power of Microeconomics: Economic Principles in the Real World,"The Power of Microeconomics: Economic Principles in the Real World University of California, Irvine COURSE Mixed"
The Pronunciation of American English,"The Pronunciation of American English University of California, Irvine SPECIALIZATION Beginner"
The Science of Gastronomy,The Science of Gastronomy The Hong Kong University of Science and Technology COURSE Mixed
The Science of Stem Cells,The Science of Stem Cells American Museum of Natural History COURSE Intermediate
The Science of Success: What Researchers Know that You Should Know,The Science of Success: What Researchers Know that You Should Know University of Michigan COURSE Beginner
The Science of Training Young Athletes,The Science of Training Young Athletes University of Florida COURSE Beginner
The Science of Well-Being,The Science of Well-Being Yale University COURSE Mixed
The Singer Songwriter,The Singer Songwriter Berklee College of Music SPECIALIZATION Beginner
The Social Context of Mental Health and Illness,The Social Context of Mental Health and Illness University of Toronto COURSE Mixed
The Strategy of Content Marketing,"The Strategy of Content Marketing University of California, Davis COURSE Intermediate"
"The Sustainable Development Goals – A global, transdisciplinary vision for the future","The Sustainable Development Goals – A global, transdisciplinary vision for the future University of Copenhagen COURSE Beginner"
The Teacher and Social and Emotional Learning (SEL),The Teacher and Social and Emotional Learning (SEL) University of Colorado Boulder SPECIALIZATION Beginner
The Technology of Music Production,The Technology of Music Production Berklee College of Music COURSE Beginner
The Truth About Cats and Dogs,The Truth About Cats and Dogs The University of Edinburgh COURSE Mixed
The hidden value – Lean in manufacturing and services,The hidden value – Lean in manufacturing and services École des Ponts ParisTech COURSE Beginner
Think Again I: How to Understand Arguments,Think Again I: How to Understand Arguments Duke University COURSE Beginner
Tools for Data Science,Tools for Data Science IBM COURSE Beginner
Trading Strategies in Emerging Markets,Trading Strategies in Emerging Markets Indian School of Business SPECIALIZATION Beginner
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences","Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences UNSW Sydney (The University of New South Wales) COURSE Mixed"
Tricky American English Pronunciation,"Tricky American English Pronunciation University of California, Irvine COURSE Beginner"
Troubles du spectre de l'autisme : diagnostic,Troubles du spectre de l'autisme : diagnostic University of Geneva COURSE Intermediate
U.S. Federal Taxation,U.S. Federal Taxation University of Illinois at Urbana-Champaign SPECIALIZATION Intermediate
UCI Project Management,"UCI Project Management University of California, Irvine PROFESSIONAL CERTIFICATE Beginner"
UI / UX Design,UI / UX Design California Institute of the Arts SPECIALIZATION Beginner
UX Design Fundamentals,UX Design Fundamentals California Institute of the Arts COURSE Beginner
Understanding Cancer Metastasis,Understanding Cancer Metastasis Johns Hopkins University COURSE Beginner
Understanding Clinical Research: Behind the Statistics,Understanding Clinical Research: Behind the Statistics University of Cape Town COURSE Mixed
Understanding Einstein: The Special Theory of Relativity,Understanding Einstein: The Special Theory of Relativity Stanford University COURSE Beginner
Understanding Medical Research: Your Facebook Friend is Wrong,Understanding Medical Research: Your Facebook Friend is Wrong Yale University COURSE Beginner
Understanding Modern Finance,Understanding Modern Finance American Institute of Business and Economics SPECIALIZATION Intermediate
Understanding Plants - Part I: What a Plant Knows,Understanding Plants - Part I: What a Plant Knows Tel Aviv University COURSE Beginner
Understanding Research Methods,Understanding Research Methods SOAS University of London COURSE Mixed
Understanding and Visualizing Data with Python,Understanding and Visualizing Data with Python University of Michigan COURSE Beginner
Understanding the Brain: The Neurobiology of Everyday Life,Understanding the Brain: The Neurobiology of Everyday Life The University of Chicago COURSE Beginner
Unity Certified Programmer Exam Preparation,Unity Certified Programmer Exam Preparation Unity SPECIALIZATION Intermediate
Unity XR: How to Build AR and VR Apps,Unity XR: How to Build AR and VR Apps Unity SPECIALIZATION Beginner
University Teaching,University Teaching The University of Hong Kong COURSE Beginner
Unraveling the Cycling City,Unraveling the Cycling City University of Amsterdam COURSE Intermediate
User Experience Research and Design,User Experience Research and Design University of Michigan SPECIALIZATION Beginner
User Interface Design,User Interface Design University of Minnesota SPECIALIZATION Intermediate
Using Databases with Python,Using Databases with Python University of Michigan COURSE Mixed
Using Python to Access Web Data,Using Python to Access Web Data University of Michigan COURSE Mixed
Using Python to Interact with the Operating System,Using Python to Interact with the Operating System Google COURSE Beginner
Value Chain Management,Value Chain Management University of Illinois at Urbana-Champaign SPECIALIZATION Intermediate
Version Control with Git,Version Control with Git Atlassian COURSE Mixed
Viral Marketing and How to Craft Contagious Content,Viral Marketing and How to Craft Contagious Content University of Pennsylvania COURSE Mixed
Virtual Reality,"Virtual Reality Goldsmiths, University of London SPECIALIZATION Beginner"
Virtual Teacher,"Virtual Teacher University of California, Irvine SPECIALIZATION Beginner"
Vital Signs: Understanding What the Body Is Telling Us,Vital Signs: Understanding What the Body Is Telling Us University of Pennsylvania COURSE Mixed
Web Applications for Everybody,Web Applications for Everybody University of Michigan SPECIALIZATION Intermediate
Web Design for Everybody: Basics of Web Development & Coding,Web Design for Everybody: Basics of Web Development & Coding University of Michigan SPECIALIZATION Beginner
Weight Management: Beyond Balancing Calories,Weight Management: Beyond Balancing Calories Emory University COURSE Beginner
What Is Contemporary Art?,What Is Contemporary Art? The Museum of Modern Art COURSE Beginner
What future for education?,What future for education? UCL Institute of Education COURSE Mixed
What is Compliance?,What is Compliance? University of Pennsylvania COURSE Mixed
What is Data Science?,What is Data Science? IBM COURSE Beginner
What is Social?,What is Social? Northwestern University COURSE Mixed
Wine Tasting: Sensory Techniques for Wine Analysis,"Wine Tasting: Sensory Techniques for Wine Analysis University of California, Davis COURSE Beginner"
Wonders of Ancient Egypt,Wonders of Ancient Egypt University of Pennsylvania COURSE Intermediate
Write A Feature Length Screenplay For Film Or Television,Write A Feature Length Screenplay For Film Or Television Michigan State University COURSE Beginner
Write Professional Emails in English,Write Professional Emails in English Georgia Institute of Technology COURSE Mixed
