course_title,tags
"Brand Management: Aligning Business, Brand and Behaviour","Brand Management: Aligning Business, Brand and Behaviour London Business School COURSE Beginner"
Branding: The Creative Journey,Branding: The Creative Journey IE Business School SPECIALIZATION Beginner
Budgeting and Scheduling Projects,"Budgeting and Scheduling Projects University of California, Irvine COURSE Mixed"
Bugs 101: Insect-Human Interactions,Bugs 101: Insect-Human Interactions University of Alberta COURSE Beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course) Hebrew University of Jerusalem COURSE Mixed
Building Batch Data Pipelines on GCP,Building Batch Data Pipelines on GCP Google Cloud COURSE Intermediate
Building Conversational Experiences with Dialogflow,Building Conversational Experiences with Dialogflow Google Cloud COURSE Beginner
Building Resilient Streaming Analytics Systems on GCP,Building Resilient Streaming Analytics Systems on GCP Google Cloud COURSE Intermediate
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Building Scalable Java Microservices with Spring Boot and Spring Cloud Google Cloud COURSE Intermediate
Building Your Leadership Skills,Building Your Leadership Skills HEC Paris COURSE Mixed
Business Analytics,Business Analytics University of Pennsylvania SPECIALIZATION Beginner
Business English,Business English Arizona State University SPECIALIZATION Intermediate
Business English Communication Skills,Business English Communication Skills University of Washington SPECIALIZATION Intermediate
Business English: Networking,Business English: Networking University of Washington COURSE Intermediate
Business Foundations,Business Foundations University of Pennsylvania SPECIALIZATION Beginner
Business Model Innovation,Business Model Innovation HEC Paris COURSE Mixed
Business Statistics and Analysis,Business Statistics and Analysis Rice University SPECIALIZATION Beginner
Business Strategies for A Better World,Business Strategies for A Better World University of Pennsylvania SPECIALIZATION Beginner
Business Strategy,Business Strategy University of Virginia SPECIALIZATION Beginner
Business Technology Management,Business Technology Management Indian School of Business SPECIALIZATION Beginner
Business Transformation with Google Cloud,Business Transformation with Google Cloud Google Cloud COURSE Beginner
Business Writing,Business Writing University of Colorado Boulder COURSE Beginner
Business and Financial Modeling,Business and Financial Modeling University of Pennsylvania SPECIALIZATION Beginner
C for Everyone: Programming Fundamentals,"C for Everyone: Programming Fundamentals University of California, Santa Cruz COURSE Beginner"
C# Programming for Unity Game Development,C# Programming for Unity Game Development University of Colorado System SPECIALIZATION Beginner
COVID-19 Contact Tracing,COVID-19 Contact Tracing Johns Hopkins University COURSE Beginner
COVID-19: What You Need to Know (CME Eligible),COVID-19: What You Need to Know (CME Eligible) Osmosis COURSE Beginner
"Cameras, Exposure, and Photography","Cameras, Exposure, and Photography Michigan State University COURSE Mixed"
Camino a la Excelencia en Gestión de Proyectos,Camino a la Excelencia en Gestión de Proyectos Pontificia Universidad Católica de Chile COURSE Beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python","Capstone: Retrieving, Processing, and Visualizing Data with Python University of Michigan COURSE Mixed"
Career Success,"Career Success University of California, Irvine SPECIALIZATION Beginner"
Challenging Forensic Science: How Science Should Speak to Court,Challenging Forensic Science: How Science Should Speak to Court University of Lausanne COURSE Beginner
Chemicals and Health,Chemicals and Health Johns Hopkins University COURSE Beginner
Chicken Behaviour and Welfare,Chicken Behaviour and Welfare The University of Edinburgh COURSE Mixed
Child Nutrition and Cooking,Child Nutrition and Cooking Stanford University COURSE Beginner
Chinese for HSK 1,Chinese for HSK 1 Peking University COURSE Beginner
Cisco Networking Basics,Cisco Networking Basics Cisco SPECIALIZATION Beginner
Classical Sociological Theory,Classical Sociological Theory University of Amsterdam COURSE Mixed
Claves de la Dirección de Empresas,Claves de la Dirección de Empresas IESE Business School SPECIALIZATION Beginner
